일련번호(no),주차장고유값(pl_id),지번주차장이름(pl_nm),구코드(sgg_code),법정동코드(bemd_code),주소(지번)(lot_num_address),기본단위시간(pl_basic_rate_min),기본단위금액(pl_basic_rate_amt),추가단위시간(pl_addi_rate_min),추가단위금액(pl_addi_rate_amt),1일(전일)금액(pl_allday_pass_amt),1월(정기권)금액(pl_month_pass_amt),거주자-주간(월)금액(resident_day_month_amt),거주자-야간(월)금액(resident_night_month_amt),거주자-전일(월)금액(resident_allday_month_amt),경도(longitude),위도(latitude)
158,5532177,526-34 거주자우선주차장,11215,10700,서울특별시 광진구 자양동 226-32,0,0,0,0,0,0,30000,20000,40000,127.075151,37.539111
159,5532178,526-34 거주자우선주차장,11215,10700,서울특별시 광진구 자양동 226-32,0,0,0,0,0,0,30000,20000,40000,127.075137,37.539153
160,5532179,526-34 거주자우선주차장,11215,10700,서울특별시 광진구 자양동 226-32,0,0,0,0,0,0,30000,20000,40000,127.075151,37.539216
161,5532180,526-34 거주자우선주차장,11215,10700,서울특별시 광진구 자양동 226-32,0,0,0,0,0,0,30000,20000,40000,127.075173,37.539253
162,5532181,526-34 거주자우선주차장,11215,10700,서울특별시 광진구 자양동 226-32,0,0,0,0,0,0,30000,20000,40000,127.075122,37.538909
163,4737533,93-3 노상주차장,11215,10700,서울특별시 광진구 화양동 121-9 더 퍼스트,0,0,0,0,0,0,30000,20000,40000,127.0758,37.5452
164,4754428,어린이대공원노상주차장,11215,10200,서울특별시 광진구 능동 257-25,0,0,0,0,0,0,30000,20000,40000,127.087592,37.552029
165,4754427,어린이대공원노상주차장,11215,10200,서울특별시 광진구 능동 257-25,0,0,0,0,0,0,30000,20000,40000,127.087512,37.551999
166,4754425,어린이대공원노상주차장,11215,10200,서울특별시 광진구 능동 257-25,0,0,0,0,0,0,30000,20000,40000,127.087252,37.551863
167,4754424,어린이대공원노상주차장,11215,10200,서울특별시 광진구 능동 257-25,0,0,0,0,0,0,30000,20000,40000,127.087231,37.551871
168,4737847,어린이대공원노상주차장,11215,10200,서울특별시 광진구 능동 243-5,0,0,0,0,0,0,30000,20000,40000,127.084019,37.55248
