일련번호(no),주차장고유값(pl_id),주차장이름(pl_nm),구코드(sgg_code),법정동코드(bemd_code),주소(지번)(lot_num_address),일반-기본단위시간(pl_basic_rate_min),일반-기본단위금액(pl_basic_rate_amt),일반-추가단위시간(pl_addi_rate_min),일반-추가단위금액(pl_addi_rate_amt),일반-1일(전일)(pl_allday_pass_amt),일반-1월(정기권)(pl_month_pass_amt),건축물층수-지하(pl_num_floor_underground),건축물층수-지상(pl_num_floor_aboveground),계획주차면수(pl_num_space_planned),경도(logitude),위도(latitude)
6121,5065983,광성빌라 주차장,11215,10300,서울특별시 광진구 구의동 25-14 광성빌라,0,0,0,0,0,0,1,4,6.0,127.094201,37.552973
6122,5066961,자양로52길 015-15 주차장,11215,10300,서울특별시 광진구 구의동 25-28,0,0,0,0,0,0,1,2,0.0,127.094552,37.553447
6123,5020659,자양로52길 015-17 주차장,11215,10300,서울특별시 광진구 구의동 25-39,0,0,0,0,0,0,1,2,0.0,127.094619,37.553508
6124,5121123,자양로52길 015-19 주차장,11215,10300,서울특별시 광진구 구의동 25-30,0,0,0,0,0,0,0,3,0.0,127.094676,37.553569
6125,4865508,자양로52길 015-04 주차장,11215,10300,서울특별시 광진구 구의동 25-7,0,0,0,0,0,0,1,2,0.0,127.094414,37.552979
6126,5015944,자양로52길 015-07 주차장,11215,10300,서울특별시 광진구 구의동 25-13,0,0,0,0,0,0,1,3,1.0,127.09437,37.553161
6127,5016265,명진빌리지 주차장,11215,10300,서울특별시 광진구 구의동 25-11 명진빌리지,0,0,0,0,0,0,0,4,6.0,127.094464,37.553284
6128,5015945,대성리센츠빌 주차장,11215,10300,서울특별시 광진구 구의동 25-6 대성리센츠빌,0,0,0,0,0,0,0,4,5.0,127.094327,37.552858
6129,5023819,자양로52길 018-00 주차장,11215,10300,서울특별시 광진구 구의동 32-7,0,0,0,0,0,0,1,3,0.0,127.094162,37.552721
6130,5023820,자양로52길 020-00 주차장,11215,10300,서울특별시 광진구 구의동 32-38,0,0,0,0,0,0,1,3,0.0,127.094225,37.552589
6131,5019145,리더스 홈2 주차장,11215,10300,서울특별시 광진구 구의동 25-5 리더스 홈2,0,0,0,0,0,0,0,4,3.0,127.094444,37.552809
6132,5019453,자양로52길 021-10 주차장,11215,10300,서울특별시 광진구 구의동 24-16,0,0,0,0,0,0,1,3,0.0,127.094932,37.552902
6133,5065984,그랜드빌 주차장,11215,10300,서울특별시 광진구 구의동 25-18 그랜드빌,0,0,0,0,0,0,1,4,6.0,127.094767,37.553202
6134,5016603,자양로52길 021-12 주차장,11215,10300,서울특별시 광진구 구의동 24-3,0,0,0,0,0,0,1,2,0.0,127.094836,37.552987
6135,5019451,자양로52길 021-14 주차장,11215,10300,서울특별시 광진구 구의동 24-20,0,0,0,0,0,0,1,2,0.0,127.094926,37.553092
6136,5066962,자양로52길 021-15 주차장,11215,10300,서울특별시 광진구 구의동 25-35,0,0,0,0,0,0,1,2,2.0,127.094826,37.553304
6137,5019452,자양로52길 021-16 주차장,11215,10300,서울특별시 광진구 구의동 24-19,0,0,0,0,0,0,1,3,0.0,127.094991,37.553171
6138,5016929,자양로52길 021-17 주차장,11215,10300,서울특별시 광진구 구의동 25-36,0,0,0,0,0,0,0,3,0.0,127.094874,37.553362
6139,5016605,자양로52길 021-18 주차장,11215,10300,서울특별시 광진구 구의동 24-18,0,0,0,0,0,0,1,3,0.0,127.095036,37.553237
6140,5020662,자양로52길 021-19 주차장,11215,10300,서울특별시 광진구 구의동 25-37,0,0,0,0,0,0,1,3,0.0,127.094961,37.553453
6141,5016930,현진빌라 주차장,11215,10300,서울특별시 광진구 구의동 24-1 현진빌라,0,0,0,0,0,0,1,4,4.0,127.095093,37.553296
6142,5016601,한양그린빌라 주차장,11215,10300,서울특별시 광진구 구의동 24-5 한양그린빌라,0,0,0,0,0,0,1,3,0.0,127.094681,37.552739
6143,5016602,자양로52길 021-05 주차장,11215,10300,서울특별시 광진구 구의동 25-2,0,0,0,0,0,0,0,4,3.0,127.094525,37.552908
6144,5019450,자양로52길 021-06 주차장,11215,10300,서울특별시 광진구 구의동 24-4,0,0,0,0,0,0,1,3,0.0,127.094711,37.552854
6145,5020309,자양로52길 021-08 주차장,11215,10300,서울특별시 광진구 구의동 24-25,0,0,0,0,0,0,1,2,0.0,127.094842,37.552809
6146,5016604,구의동 주택 주차장,11215,10300,서울특별시 광진구 구의동 25-3 구의동 주택,0,0,0,0,0,0,0,3,0.0,127.094649,37.553071
6147,5069511,자양로52길 024-00 주차장,11215,10300,서울특별시 광진구 구의동 32-44,0,0,0,0,0,0,1,3,3.0,127.09444,37.552508
6148,5020702,자양로52길 025-00 주차장,11215,10300,서울특별시 광진구 구의동 24-17,0,0,0,0,0,0,1,4,0.0,127.094555,37.552644
6149,5023821,자양로52길 028-00 주차장,11215,10300,서울특별시 광진구 구의동 32-43,0,0,0,0,0,0,1,4,0.0,127.094519,37.552426
6150,5067191,자양로52길 003-10 주차장,11215,10300,서울특별시 광진구 구의동 26-11,0,0,0,0,0,0,1,4,0.0,127.094031,37.553527
6151,5019144,예다움 주차장,11215,10300,서울특별시 광진구 구의동 26-9,0,0,0,0,0,0,0,5,7.0,127.093854,37.553295
6152,5020314,자양로52길 003-09 주차장,11215,10300,서울특별시 광진구 구의동 26-18,0,0,0,0,0,0,1,5,7.0,127.093841,37.553606
6153,5023263,자양로52길 004-05 주차장,11215,10300,서울특별시 광진구 구의동 31-20,0,0,0,0,0,0,0,5,8.0,127.093525,37.552922
6154,5023279,대성하우징 주차장,11215,10300,서울특별시 광진구 구의동 31-4,0,0,0,0,0,0,0,5,8.0,127.093443,37.5528
6155,5023262,현대아트빌라 주차장,11215,10300,서울특별시 광진구 구의동 31-21 현대아트빌라,0,0,0,0,0,0,1,4,0.0,127.09363,37.553051
6156,5011583,현대아트빌라 주차장,11215,10300,서울특별시 광진구 구의동 26-7 현대아트빌라,0,0,0,0,0,0,1,4,0.0,127.093841,37.553163
