"동별(1)",동별(2),동별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계,개인사업체,개인사업체,회사법인,회사법인,회사이외의 법인,회사이외의 법인,비법인단체,비법인단체
"동별(1)",동별(2),동별(3),사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
"동별(1)",동별(2),동별(3),사업체수,여성대표자,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계
"합계",노원구,소계,37909,14092,133398,63208,70190,32552,57525,3127,34830,1542,33818,688,7225
"합계",노원구,월계1동,1921,692,6647,3762,2885,1641,3113,151,1242,93,1972,36,320
"합계",노원구,월계2동,1436,433,3961,2126,1835,1256,1688,92,650,60,1370,28,253
"합계",노원구,월계3동,1536,565,4525,2434,2091,1358,1963,99,1344,37,910,42,308
"합계",노원구,공릉2동,2754,987,13078,6469,6609,2307,3961,228,2338,168,6340,51,439
"합계",노원구,하계1동,1615,604,8965,4375,4590,1287,2497,200,2660,106,3553,22,255
"합계",노원구,하계2동,778,301,1687,760,927,712,1009,28,92,19,441,19,145
"합계",노원구,중계본동,1724,708,5840,2767,3073,1502,2704,122,1777,81,1143,19,216
"합계",노원구,중계1동,1470,649,4522,1891,2631,1278,2505,117,1119,55,723,20,175
"합계",노원구,중계4동,1410,557,4285,1843,2442,1254,2410,72,591,57,888,27,396
"합계",노원구,상계1동,3934,1096,11608,6353,5255,3433,5330,315,4049,132,1800,54,429
"합계",노원구,상계2동,3325,1399,11074,4866,6208,2744,6298,444,3095,104,1014,33,667
"합계",노원구,상계5동,2755,956,6516,3250,3266,2465,3619,152,1663,88,466,50,768
"합계",노원구,상계8동,824,381,1943,711,1232,744,1018,10,67,28,587,42,271
"합계",노원구,상계9동,1036,390,2848,1265,1583,946,1561,32,229,32,800,26,258
"합계",노원구,상계10동,818,309,2515,1467,1048,731,1050,37,493,34,871,16,101
"합계",노원구,상계3.4동,1849,638,4821,2781,2040,1616,2205,84,1288,96,704,53,624
"합계",노원구,상계6.7동,2685,1096,18222,6456,11766,2215,5321,299,5644,120,6665,51,592
"합계",노원구,중계2.3동,2047,863,5777,2548,3229,1799,2849,136,971,76,1678,36,279
"합계",노원구,공릉1동,3992,1468,14564,7084,7480,3264,6424,509,5518,156,1893,63,729
"합계",은평구,소계,36509,14446,109031,51769,57262,31698,54541,2810,22545,1395,26443,606,5502
"합계",은평구,녹번동,3045,1126,13682,6829,6853,2392,4314,353,2589,242,6316,58,463
"합계",은평구,불광1동,2408,998,7000,2877,4123,2125,3543,156,1369,87,1768,40,320
"합계",은평구,갈현1동,2038,832,5306,2262,3044,1821,3525,127,922,60,601,30,258
"합계",은평구,갈현2동,2344,943,6776,2905,3871,2078,3926,165,1051,65,1459,36,340
"합계",은평구,구산동,1996,729,6219,2713,3506,1759,2521,104,641,100,2719,33,338
"합계",은평구,대조동,3363,1521,7968,3400,4568,2954,5367,294,1602,76,704,39,295
"합계",은평구,응암1동,2605,1073,8853,4270,4583,2196,4591,289,2644,83,1231,37,387
"합계",은평구,응암2동,1284,565,3096,1432,1664,1174,1745,43,297,42,766,25,288
"합계",은평구,신사1동,1986,770,5162,2739,2423,1749,2956,113,1104,77,727,47,375
"합계",은평구,신사2동,2060,496,4261,2528,1733,1895,2447,89,777,48,739,28,298
"합계",은평구,증산동,1345,522,4363,2455,1908,1103,1885,161,1583,48,698,33,197
"합계",은평구,수색동,791,299,2760,1772,988,668,976,72,1201,36,477,15,106
"합계",은평구,진관동,3137,1371,13270,5815,7455,2515,4453,377,3063,181,5294,64,460
"합계",은평구,불광2동,1924,818,4933,2217,2716,1707,2725,103,529,78,1138,36,541
"합계",은평구,응암3동,2467,975,6002,2851,3151,2242,3841,123,1122,67,682,35,357
"합계",은평구,역촌동,3716,1408,9380,4704,4676,3320,5726,241,2051,105,1124,50,479
