점포구분명,상세영업상태명,사업장명,좌표정보(X),좌표정보(Y)
휴게음식점,영업,테이큰커피,206071.875076182,449149.761562665
휴게음식점,영업,세븐일레븐(7-Eleven),208006.504810197,447998.924380413
휴게음식점,영업,세븐일레븐구의아차산점,208013.281240358,449873.038603781
휴게음식점,영업,주식회사이마트24,206058.296864707,449571.093213716
휴게음식점,영업,세븐일레븐자양으뜸2호점,207320.173414544,448158.31682954
휴게음식점,영업,홀빈커피,206798.098237972,447794.105868714
휴게음식점,영업,이디야커피,207524.325840597,449167.621788725
휴게음식점,영업,미미전병,205808.686468539,448453.107372047
휴게음식점,영업,세븐일레븐건대번영로점,206724.714495833,448462.652658247
휴게음식점,영업,지에서(GS)25광진타운,206637.030804701,450782.463977337
휴게음식점,영업,지에스25뚝섬유원지점,206011.728357801,447910.588323863
휴게음식점,영업,도프존,206166.009816837,447657.587069233
휴게음식점,영업,롯데프레쉬(FRESH)아차산점,208075.543534642,449971.642025946
휴게음식점,영업,푸드 스토리,207911.576091796,449393.584177279
휴게음식점,영업,슈가슈슈,206897.811091123,448481.089520218
휴게음식점,영업,카페오로시,207252.097980647,448588.146822062
휴게음식점,영업,쥬씨&차얌,208729.170395929,448995.808404463
휴게음식점,영업,파오파오차(paopao cha),208017.020066347,449825.006064078
휴게음식점,영업,더(The)좋은생각,208191.758705961,448682.991479895
휴게음식점,영업,지에스25능동타운,207181.545030171,450218.833786423
휴게음식점,영업,신전떡볶이(건대점),205973.225654729,449298.405417386
휴게음식점,영업,더착한커피세종대점,206372.953292666,449415.431756293
휴게음식점,영업,신전떡볶이(광장점),209169.954502943,449309.731195648
휴게음식점,영업,커피식스쥬스식스건대역점,206289.878840271,449019.845482083
휴게음식점,영업,노란코끼리,207749.121295367,448413.860807613
휴게음식점,영업,김밥센터(KIMBOB CENTER),206904.259835738,447548.69083457
휴게음식점,영업,파블로,206217.434726027,448506.218743834
휴게음식점,영업,세븐일레븐군자파라곤점,206091.938587177,449581.249922815
휴게음식점,영업,아이센스,207268.834509827,452034.440353727
휴게음식점,영업,김씨네매콤떡볶이,207121.721772383,448124.746564446
휴게음식점,영업,지에스25군자동일로,206263.082868007,450284.216345347
휴게음식점,영업,지에스25노유타운점,205546.767203729,448164.792835746
휴게음식점,영업,지에스(GS)25 뉴화양타운점,205977.338648418,449236.787497588
휴게음식점,영업,쥬씨 차얌뚝섬유원지점,205945.98820137,447862.351973505
휴게음식점,영업,쥬시,206939.066753686,450441.991348117
휴게음식점,영업,카페플리츠미,207315.838960169,448670.852957804
휴게음식점,영업,레이디언트(RADIANT),207185.807779856,450539.456356045
휴게음식점,영업,길가집김밥,205831.417101061,448184.941380879
휴게음식점,영업,모모공방&카페,206360.40017932,447931.25478067
휴게음식점,영업,명랑쌀핫도그 세종대점,206255.118076575,450036.149608918
휴게음식점,영업,로마루피씨,205906.77215752,448710.967950599
휴게음식점,영업,애견카페리버티벨스타건대점,205969.966011569,448175.917404606
휴게음식점,영업,사이버리아피씨,208558.286631653,448353.905156369
휴게음식점,영업,세븐일레븐워커힐점,209475.650132275,449623.778191724
휴게음식점,영업,놀숲북카페,205948.480566193,448701.947776139
