행정동,위도,경도
구의2동,37.5499,127.095
구의2동,37.5499,127.095
구의2동,37.5499,127.095
구의2동,37.5499,127.095
구의2동,37.5499,127.095
구의2동,37.5519,127.0914
구의2동,37.5519,127.0914
구의2동,37.5519,127.0914
구의2동,37.5519,127.0914
구의2동,37.5519,127.0914
구의2동,37.5457,127.0872
구의2동,37.5457,127.0872
구의2동,37.5457,127.0872
구의2동,37.5457,127.0872
구의2동,37.5457,127.0872
구의2동,37.5457,127.0872
구의2동,37.5478,127.0873
구의2동,37.5478,127.0873
구의2동,37.5478,127.0873
구의2동,37.5478,127.0873
구의2동,37.5537,127.0929
구의2동,37.5537,127.0956
구의2동,37.5537,127.0956
구의2동,37.5537,127.0956
구의2동,37.5537,127.0956
구의2동,37.5537,127.0956
구의2동,37.5543,127.0934
구의2동,37.5543,127.0934
구의2동,37.5543,127.0934
구의2동,37.5543,127.0934
구의2동,37.554,127.0946
구의2동,37.554,127.0946
구의2동,37.554,127.0946
구의2동,37.554,127.0946
구의2동,37.554,127.0946
구의2동,37.5539,127.0934
구의2동,37.5539,127.0934
구의2동,37.5539,127.0934
구의2동,37.5539,127.0934
구의2동,37.5546,127.0959
구의2동,37.5546,127.0959
구의2동,37.5546,127.0959
구의2동,37.5546,127.0959
구의2동,37.5546,127.0959
구의2동,37.5533,127.0961
구의2동,37.5533,127.0961
구의2동,37.5531,127.0941
구의2동,37.5531,127.0941
구의2동,37.5531,127.0941
구의2동,37.5531,127.0941
구의2동,37.5531,127.0941
구의2동,37.5531,127.0941
구의2동,37.5514,127.0966
구의2동,37.5514,127.0966
구의2동,37.551,127.096
구의2동,37.551,127.096
구의2동,37.551,127.096
구의2동,37.551,127.096
구의2동,37.551,127.096
구의2동,37.5517,127.0946
구의2동,37.5517,127.0946
구의2동,37.5517,127.0946
구의2동,37.5517,127.0946
구의2동,37.5517,127.0946
구의2동,37.5508,127.0937
구의2동,37.5508,127.0937
구의2동,37.553,127.0919
구의2동,37.553,127.0919
구의2동,37.553,127.0919
구의2동,37.553,127.0919
구의2동,37.553,127.0919
구의2동,37.553,127.0919
구의2동,37.5513,127.0911
구의2동,37.5513,127.0911
구의2동,37.5513,127.0911
구의2동,37.5513,127.0911
구의2동,37.5513,127.0911
구의2동,37.5556,127.0942
구의2동,37.5556,127.0942
구의2동,37.5554,127.0952
구의2동,37.5554,127.0952
구의2동,37.5554,127.0952
구의2동,37.5502,127.0922
구의2동,37.5502,127.0922
구의2동,37.5502,127.0922
구의2동,37.5502,127.0922
구의2동,37.5502,127.0922
구의2동,37.5502,127.0922
구의2동,37.5499,127.0932
구의2동,37.5499,127.0932
구의2동,37.548,127.0917
구의3동,37.5428,127.0912
구의2동,37.548,127.0917
구의2동,37.548,127.0917
구의2동,37.548,127.0917
구의2동,37.5483,127.086
구의2동,37.5484,127.087
구의2동,37.5484,127.087
구의2동,37.5484,127.087
구의2동,37.5484,127.087
구의2동,37.5484,127.087
구의2동,37.5484,127.087
구의2동,37.5479,127.0863
구의2동,37.5479,127.0863
구의2동,37.5473,127.0886
구의2동,37.5473,127.0886
구의2동,37.5473,127.0886
구의2동,37.5473,127.0886
구의2동,37.5473,127.0886
구의2동,37.5473,127.0886
구의2동,37.5466,127.0883
구의2동,37.5464,127.0875
구의2동,37.5464,127.0875
구의2동,37.5464,127.0875
구의2동,37.5464,127.0875
구의2동,37.5464,127.0875
구의2동,37.5495,127.0891
구의2동,37.5495,127.0891
구의2동,37.5495,127.0891
